JPG,X,Y,W,H,BRAND,CONFIDENCE,FRAME,A1,A2,A3,A4,A5,A6,A7,A8,A9,P1,P2,P3,P4,P5,P6,P7,P8,P9,A,P
/data/yann/nfl/vid/all_imgs1/part_1_000474.jpg,167,272,139,107,Pepsi,93,474,12232,0,0,2641,0,0,0,0,0,0.049373958,0,0,0.010660286,0,0,0,0,0,0.00717255,0.480273958
/data/yann/nfl/vid/all_imgs1/part_1_000512.jpg,213,271,112,107,Pepsi,99,512,9968,0,0,2016,0,0,0,0,0,0.04283125,0,0,0.0086625,0,0,0,0,0,0.005779321,0.41195
/data/yann/nfl/vid/all_imgs1/part_1_000512.jpg,0,131,197,134,Gillette,99,512,26398,0,0,0,0,0,0,0,0,0.113428906,0,0,0,0,0,0,0,0,0.012730517,0.90743125
/data/yann/nfl/vid/all_imgs1/part_1_000516.jpg,0,124,232,140,Gillette,99,516,32480,0,0,0,0,0,0,0,0,0.1395625,0,0,0,0,0,0,0,0,0.01566358,1.1165
/data/yann/nfl/vid/all_imgs1/part_1_000517.jpg,0,130,234,136,Gillette,99,517,31824,0,0,0,0,0,0,0,0,0.13674375,0,0,0,0,0,0,0,0,0.015347222,1.09395
/data/yann/nfl/vid/all_imgs1/part_1_000518.jpg,0,134,232,135,Gillette,99,518,31320,0,0,0,0,0,0,0,0,0.134578125,0,0,0,0,0,0,0,0,0.015104167,1.076625
/data/yann/nfl/vid/all_imgs1/part_1_000521.jpg,6,105,259,174,Gillette,99,521,45066,0,0,0,0,0,0,0,0,0.193642969,0,0,0,0,0,0,0,0,0.021733218,1.54914375
/data/yann/nfl/vid/all_imgs1/part_1_000522.jpg,19,108,272,174,Gillette,98,522,47328,0,0,0,0,0,0,0,0,0.201308333,0,0,0,0,0,0,0,0,0.022824074,1.610466667
/data/yann/nfl/vid/all_imgs1/part_1_000523.jpg,27,122,226,147,Gillette,100,523,33222,0,0,0,0,0,0,0,0,0.144192708,0,0,0,0,0,0,0,0,0.016021412,1.153541667
/data/yann/nfl/vid/all_imgs1/part_1_000524.jpg,29,129,222,139,Gillette,99,524,30858,0,0,0,0,0,0,0,0,0.132592969,0,0,0,0,0,0,0,0,0.014881366,1.06074375
/data/yann/nfl/vid/all_imgs1/part_1_000525.jpg,25,110,266,167,Gillette,99,525,44422,0,0,0,0,0,0,0,0,0.190875781,0,0,0,0,0,0,0,0,0.021422647,1.52700625
/data/yann/nfl/vid/all_imgs1/part_1_000526.jpg,26,110,270,169,Gillette,99,526,45630,0,0,0,0,0,0,0,0,0.196066406,0,0,0,0,0,0,0,0,0.022005208,1.56853125
/data/yann/nfl/vid/all_imgs1/part_1_000527.jpg,29,117,270,164,Gillette,98,527,44280,0,0,0,0,0,0,0,0,0.18834375,0,0,0,0,0,0,0,0,0.021354167,1.50675
/data/yann/nfl/vid/all_imgs1/part_1_000528.jpg,30,119,274,161,Gillette,94,528,44114,0,0,0,0,0,0,0,0,0.179978993,0,0,0,0,0,0,0,0,0.021274113,1.439831944
/data/yann/nfl/vid/all_imgs1/part_1_000529.jpg,32,121,273,161,Gillette,99,529,43953,0,0,0,0,0,0,0,0,0.188860547,0,0,0,0,0,0,0,0,0.02119647,1.510884375
/data/yann/nfl/vid/all_imgs1/part_1_000530.jpg,39,128,280,151,Gillette,99,530,42280,0,0,0,0,0,0,0,0,0.181671875,0,0,0,0,0,0,0,0,0.02038966,1.453375
/data/yann/nfl/vid/all_imgs1/part_1_000531.jpg,56,123,291,159,Gillette,99,531,46269,0,0,0,0,0,0,0,0,0.198812109,0,0,0,0,0,0,0,0,0.022313368,1.590496875
